"No","Kode Kemendagri","Kabupaten","Provinsi","Ibu Kota","Kecamatan","Kecamatan/Desa"
"306.","11.18","Kabupaten Pidie Jaya","Aceh","Meureudu","08","222"
"307.","73.15","Kabupaten Pinrang","Sulawesi Selatan","Pinrang","12","108"
"308.","75.04","Kabupaten Pohuwato","Gorontalo","Marisa","13","104"
"309.","76.04","Kabupaten Polewali Mandar","Sulawesi Barat","Polewali","16","167"
"310.","35.02","Kabupaten Ponorogo","Jawa Timur","Ponorogo","21","307"
"311.","72.02","Kabupaten Poso","Sulawesi tengah","Poso","19","170"
"312.","18.10","Kabupaten Pringsewu","Lampung","Pringsewu","09","131"
"313.","35.13","Kabupaten Probolinggo","Jawa Timur","Kraksaan","24","330"
"314.","62.11","Kabupaten Pulang Pisau","Kalimantan Tengah","Pulang Pisau","08","099"
"315.","82.07","Kabupaten Pulau Morotai","Maluku Utara","Morotai Selatan","05","088"
"316.","82.08","Kabupaten Pulau Taliabu","Maluku Utara","Bobong","08","071"
"317.","91.25","Kabupaten Puncak","Papua Tengah","Ilaga","25","206"
"318.","91.07","Kabupaten Puncak Jaya","Papua Tengah","Kotamulia","26","305"
"319.","33.03","Kabupaten Purbalingga","Jawa Tengah","Purbalingga","18","239"
"320.","32.14","Kabupaten Purwakarta","Jawa Barat","Purwakarta","17","192"
"321.","33.06","Kabupaten Purworejo","Jawa Tengah","Purworejo","16","494"
"322.","92.05","Kabupaten Raja Ampat","Papua Barat Daya","Waisai","24","121"
"323.","17.02","Kabupaten Rejang Lebong","Bengkulu","Curup","15","156"
"324.","33.17","Kabupaten Rembang","Jawa Tengah","Rembang","14","294"
"325.","14.07","Kabupaten Rokan Hilir","Riau","Ujung Tanjung","15","184"
"326.","14.06","Kabupaten Rokan Hulu","Riau","Pasir Pengaraian","16","145"
"327.","53.14","Kabupaten Rote Ndao","Nusa Tenggara Timur","Baa","10","119"
"328.","53.20","Kabupaten Sabu Raijua","Nusa Tenggara Timur","Seba","06","063"
"329.","61.01","Kabupaten Sambas","Kalimantan Barat","Sambas","19","193"
"330.","12.17","Kabupaten Samosir","Sumatra Utara","Pangururan","09","134"
"331.","35.27","Kabupaten Sampang","Jawa Timur","Sampang","14","186"
"332.","61.03","Kabupaten Sanggau","Kalimantan Barat","Sanggau","15","169"
"333.","91.10","Kabupaten Sarmi","Papua","Sarmi","10","094"
"334.","15.03","Kabupaten Sarolangun","Jambi","Sarolangun","10","158"
"335.","61.09","Kabupaten Sekadau","Kalimantan Barat","Sekadau","07","087"
"336.","17.05","Kabupaten Seluma","Bengkulu","Tais","14","202"
"337.","33.22","Kabupaten Semarang","Jawa Tengah","Ungaran","19","235"
"338.","81.06","Kabupaten Seram Bagian Barat","Maluku","Piru","11","092"
"339.","81.05","Kabupaten Seram Bagian Timur","Maluku","Bula","15","198"
"340.","36.04","Kabupaten Serang","Banten","Ciruas","29","326"
"341.","12.18","Kabupaten Serdang Bedagai","Sumatra Utara","Sei Rampah","17","243"
"342.","62.07","Kabupaten Seruyan","Kalimantan Tengah","Kuala Pembuang","10","100"
"343.","14.08","Kabupaten Siak","Riau","Siak Sri Indrapura","14","131"
"344.","73.14","Kabupaten Sidenreng Rappang","Sulawesi Selatan","Pangkajene Sidenreng","11","106"
"345.","35.15","Kabupaten Sidoarjo","Jawa Timur","Sidoarjo","18","353"
