"No","Kode Kemendagri","Kabupaten","Provinsi","Ibu Kota","Kecamatan","Kecamatan/Desa"
"133.","35.17","Kabupaten Jombang","Jawa Timur","Jombang","21","306"
"134.","92.08","Kabupaten Kaimana","Papua Barat","Kaimana","07","086"
"135.","14.01","Kabupaten Kampar","Riau","Bangkinang","21","250"
"136.","62.03","Kabupaten Kapuas","Kalimantan Tengah","Kuala Kapuas","17","231"
"137.","61.06","Kabupaten Kapuas Hulu","Kalimantan Barat","Putussibau","23","282"
"138.","33.13","Kabupaten Karanganyar","Jawa Tengah","Karanganyar","17","177"
"139.","51.07","Kabupaten Karangasem","Bali","Karangasem","08","078"
"140.","32.15","Kabupaten Karawang","Jawa Barat","Karawang","30","309"
"141.","21.02","Kabupaten Karimun","Kepulauan Riau","Tanjung Balai Karimun","12","071"
"142.","12.06","Kabupaten Karo","Sumatra Utara","Kabanjahe","17","269"
"143.","62.06","Kabupaten Katingan","Kalimantan Tengah","Kasongan","13","161"
"144.","17.04","Kabupaten Kaur","Bengkulu","Bintuhan","15","195"
"145.","61.11","Kabupaten Kayong Utara","Kalimantan Barat","Sukadana","06","043"
"146.","33.05","Kabupaten Kebumen","Jawa Tengah","Kebumen","26","460"
"147.","35.06","Kabupaten Kediri","Jawa Timur","Kediri","26","344"
"148.","91.11","Kabupaten Keerom","Papua","Waris","11","091"
"149.","33.24","Kabupaten Kendal","Jawa Tengah","Kendal","20","286"
"150.","17.08","Kabupaten Kepahiang","Bengkulu","Kepahiang","08","117"
"151.","21.05","Kabupaten Kepulauan Anambas","Kepulauan Riau","Tarempa","07","054"
"152.","81.07","Kabupaten Kepulauan Aru","Maluku","Dobo","10","119"
"153.","13.09","Kabupaten Kepulauan Mentawai","Sumatra Barat","Tuapeijat","10","043"
"154.","14.10","Kabupaten Kepulauan Meranti","Riau","Selatpanjang","09","101"
"155.","71.03","Kabupaten Kepulauan Sangihe","Sulawesi Utara","Tahuna","15","167"
"156.","73.01","Kabupaten Kepulauan Selayar","Sulawesi Selatan","Benteng","11","088"
"157.","71.09","Kabupaten Kepulauan Siau Tagulandang Biaro","Sulawesi Utara","Ondong Siau","10","093"
"158.","82.05","Kabupaten Kepulauan Sula","Maluku Utara","Sanana","12","078"
"159.","71.04","Kabupaten Kepulauan Talaud","Sulawesi Utara","Melonguane","19","153"
"160.","81.03","Kabupaten Kepulauan Tanimbar","Maluku","Saumlaki","10","082"
"161.","91.05","Kabupaten Kepulauan Yapen","Papua","Serui","16","165"
"162.","15.01","Kabupaten Kerinci","Jambi","Sungaipenuh","16","287"
"163.","61.04","Kabupaten Ketapang","Kalimantan Barat","Ketapang","20","262"
"164.","33.10","Kabupaten Klaten","Jawa Tengah","Klaten","26","401"
"165.","51.05","Kabupaten Klungkung","Bali","Klungkung","04","059"
"166.","74.01","Kabupaten Kolaka","Sulawesi Tenggara","Kolaka","12","135"
"167.","74.11","Kabupaten Kolaka Timur","Sulawesi Tenggara","Tirawuta","12","133"
"168.","74.08","Kabupaten Kolaka Utara","Sulawesi Tenggara","Lasusua","15","133"
"169.","74.02","Kabupaten Konawe","Sulawesi Tenggara","Unaaha","27","354"
"170.","74.12","Kabupaten Konawe Kepulauan","Sulawesi Tenggara","Langara","07","096"
"171.","74.05","Kabupaten Konawe Selatan","Sulawesi Tenggara","Andolo","25","351"
"172.","74.09","Kabupaten Konawe Utara","Sulawesi Tenggara","Wanggudu","13","170"
"173.","63.02","Kabupaten Kotabaru","Kalimantan Selatan","Kotabaru","21","202"
"174.","62.01","Kabupaten Kotawaringin Barat","Kalimantan Tengah","Pangkalan Bun","06","094"
"175.","62.02","Kabupaten Kotawaringin Timur","Kalimantan Tengah","Sampit","17","185"
"176.","14.09","Kabupaten Kuantan Singingi","Riau","Taluk Kuantan","15","229"
"177.","61.12","Kabupaten Kubu Raya","Kalimantan Barat","Sungai Raya","09","117"
"178.","33.19","Kabupaten Kudus","Jawa Tengah","Kudus","09","132"
"179.","34.01","Kabupaten Kulon Progo","Daerah Istimewa Yogyakarta","Wates","12","088"
"180.","32.08","Kabupaten Kuningan","Jawa Barat","Kuningan","32","376"
"181.","53.01","Kabupaten Kupang","Nusa Tenggara Timur","Kupang","24","177"
"182.","64.07","Kabupaten Kutai Barat","Kalimantan Timur","Sendawar","16","194"
"183.","64.02","Kabupaten Kutai Kartanegara","Kalimantan Timur","Tenggarong","18","237"
"184.","64.08","Kabupaten Kutai Timur","Kalimantan Timur","Sangatta","18","141"
"185.","12.10","Kabupaten Labuhanbatu","Sumatra Utara","Rantau Prapat","09","098"
"186.","12.22","Kabupaten Labuhanbatu Selatan","Sumatra Utara","Kota Pinang","05","054"
"187.","12.23","Kabupaten Labuhanbatu Utara","Sumatra Utara","Aek Kanopan","08","090"
"188.","16.04","Kabupaten Lahat","Sumatra Selatan","Lahat","24","378"
"189.","62.09","Kabupaten Lamandau","Kalimantan Tengah","Nanga Bulik","08","088"
"190.","35.24","Kabupaten Lamongan","Jawa Timur","Lamongan","27","474"
"191.","18.04","Kabupaten Lampung Barat","Lampung","Kota Liwa","15","136"
"192.","18.01","Kabupaten Lampung Selatan","Lampung","Kalianda","17","260"
"193.","18.02","Kabupaten Lampung Tengah","Lampung","Gunung Sugih","28","311"
"194.","18.07","Kabupaten Lampung Timur","Lampung","Sukadana,","24","264"
"195.","18.03","Kabupaten Lampung Utara","Lampung","Kotabumi","23","247"
"196.","61.08","Kabupaten Landak","Kalimantan Barat","Ngabang","13","156"
"197.","12.05","Kabupaten Langkat","Sumatra Utara","Stabat","23","277"
"198.","91.23","Kabupaten Lanny Jaya","Papua Pegunungan","Tiom","39","355"
"199.","36.02","Kabupaten Lebak","Banten","Rangkasbitung","28","345"
"200.","17.07","Kabupaten Lebong","Bengkulu","Muara Aman","12","104"
"201.","53.13","Kabupaten Lembata","Nusa Tenggara Timur","Lewoleba","09","151"
"202.","13.07","Kabupaten Lima Puluh Kota","Sumatra Barat","Sarilamak","13","079"
"203.","21.04","Kabupaten Lingga","Kepulauan Riau","Daik","10","082"
"204.","52.01","Kabupaten Lombok Barat","Nusa Tenggara Barat","Mataram","10","122"
"205.","52.02","Kabupaten Lombok Tengah","Nusa Tenggara Barat","Praya","12","139"
"206.","52.03","Kabupaten Lombok Timur","Nusa Tenggara Barat","Selong","20","254"
"207.","52.08","Kabupaten Lombok Utara","Nusa Tenggara Barat","Tanjung","05","033"
"208.","35.08","Kabupaten Lumajang","Jawa Timur","Lumajang","21","205"
"209.","73.17","Kabupaten Luwu","Sulawesi Selatan","Belopa","22","227"
"210.","73.24","Kabupaten Luwu Timur","Sulawesi Selatan","Malili","11","127"
"211.","73.22","Kabupaten Luwu Utara","Sulawesi Selatan","Masamba","12","173"
"212.","35.19","Kabupaten Madiun","Jawa Timur","Madiun","15","206"
"213.","33.08","Kabupaten Magelang","Jawa Tengah","Kota Mungkid","21","372"
"214.","35.20","Kabupaten Magetan","Jawa Timur","Magetan","18","235"
"215.","64.11","Kabupaten Mahakam Ulu","Kalimantan Timur","Batu Bulan","05","050"
"216.","32.10","Kabupaten Majalengka","Jawa Barat","Majalengka","26","343"
"217.","76.05","Kabupaten Majene","Sulawesi Barat","Majene","08","082"
"218.","53.21","Kabupaten Malaka","Nusa Tenggara Timur","Betun","12","127"
"219.","35.07","Kabupaten Malang","Jawa Timur","Kepanjen","33","390"
"220.","65.02","Kabupaten Malinau","Kalimantan Utara","Malinau","15","109"
"221.","81.08","Kabupaten Maluku Barat Daya","Maluku","Tiakur","17","118"
"222.","81.01","Kabupaten Maluku Tengah","Maluku","Masohi","18","192"
"223.","81.02","Kabupaten Maluku Tenggara","Maluku","Langgur","11","191"
"224.","76.03","Kabupaten Mamasa","Sulawesi Barat","Mamasa","17","181"
"225.","91.20","Kabupaten Mamberamo Raya","Papua","Burmeso","08","060"
"226.","91.21","Kabupaten Mamberamo Tengah","Papua Pegunungan","Kobakma","05","059"
"227.","76.02","Kabupaten Mamuju","Sulawesi Barat","Mamuju","11","101"
"228.","76.06","Kabupaten Mamuju Tengah","Sulawesi Barat","Tobadak","05","054"
"229.","12.13","Kabupaten Mandailing Natal","Sumatra Utara","Kota Panyabungan","23","404"
"230.","53.10","Kabupaten Manggarai","Nusa Tenggara Timur","Ruteng","12","171"
"231.","53.15","Kabupaten Manggarai Barat","Nusa Tenggara Timur","Labuan Bajo","12","169"
